ID,Prediction
1,0.8
2,0.7
3,0.9
4,0.4
5,0.8
6,0.6
7,1.0
8,1.0
9,0.8
10,0.9
11,1.0
12,0.9
13,0.8
14,1.0
15,1.0
16,0.8
17,0.9
18,0.6
19,0.3
20,0.2
21,0.3
22,1.0
23,0.9
24,0.4
25,0.6
26,1.0
27,0.4
28,0.9
29,1.0
30,1.0
31,0.3
32,1.0
33,1.0
34,1.0
35,1.0
36,0.9
37,0.3
38,0.4
39,1.0
40,0.5
41,1.0
42,0.7
43,0.3
44,0.8
45,0.9
46,1.0
47,1.0
48,1.0
49,0.9
50,0.9
51,1.0
52,0.7
53,1.0
54,1.0
55,1.0
56,0.4
57,0.8
58,0.7
59,1.0
60,1.0
61,1.0
62,0.8
63,1.0
64,0.8
65,1.0
66,1.0
67,1.0
68,1.0
69,0.8
70,0.2
71,0.2
72,0.4
73,1.0
74,1.0
75,0.4
76,0.4
77,1.0
78,0.4
79,1.0
80,1.0
81,0.6
82,0.8
83,0.7
84,1.0
85,1.0
86,0.2
87,1.0
88,0.8
89,1.0
90,0.5
91,1.0
92,0.5
93,1.0
94,1.0
95,0.6
96,0.5
97,0.8
98,0.2
99,1.0
100,0.8
101,1.0
102,1.0
103,1.0
104,0.7
105,0.9
106,1.0
107,0.4
108,1.0
109,1.0
110,1.0
111,1.0
112,0.8
113,1.0
114,0.8
115,0.4
116,1.0
117,0.7
118,0.5
119,1.0
120,0.9
121,0.9
122,1.0
123,1.0
124,1.0
125,0.7
126,1.0
127,0.9
128,0.8
129,1.0
130,0.5
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,0.5
138,0.4
